Bengali,Example Sentence,Translation,Index
অংক,এটি অংক,This is math,1
অঙ্ক,এটি অঙ্ক,This is math,1
অংশু,এটি একটি অংশু,This is a sunbeam,2
অক্ষ,এটি একটি অক্ষ,This is a die,2
অগ্নি,এটি একটি অগ্নি,This is a fire,2
অগ্নি,এটি একটি অগ্নি,This is a fire,2
আগুন,এটি একটি আগুন,This is a fire,2
আগুন,এটি একটি আগুন,This is a fire,2
অনুবাদ,এটি একটি অনুবাদ,This is a translation,2
অনুমতি,এটি অনুমতি,This is permission,1
অবতার,সে একজন অবতার,He is an avatar,2
অশোক,সে অশোক,He is Ashok,1
অস্থি,এটি একটি,This is a bone,2
আঁই,এ আঁই,This is me,1
আমি,এ আমি,This is me,1
আঁকা,এটি একটি আঁকা,This is a drawing,2
আঁঠু,এটি একটি আঁঠু,This is a knee,2
আঁডু,এটি একটি আঁডু,This is a knee,2
আকাশ,এটি একটি আকাশ,This is a sky,2
আছে,এটি আছে,This exists,1
আজি,আজি করিলাম,I did it today,0
আট,এটি একটি আট,This is an eight,2
আষ্ট,এটি একটি আষ্ট,This is an eight,2
আদা,এটি একটি আদা,This is a ginger,2
আম,এটি একটি আম,This is a mango,2
ইতিহাস,এটি একটি ইতিহাস,This is a history,2
উট,এটি একটি উট,This is a camel,2
উত্তর,এটি একটি উত্তর,This is an answer,2
উপত্যকা,এটি একটি উপত্যকা,This is a valley,2
উপন্যাস,এটি একটি উপন্যাস,This is a novel,2
ঋতু,এটি একটি ঋতু,This is a season,2
এক,এটি একটি এক,This is a one,2
এক,এটি একটি এক,This is a one,2
একলা,একলা করলাম,I did it alone,1
একলা,একলা করলাম,I did it alone,1
একতা,এটি একতা,This is unity,1
ঔষধ,এটি একটি ঔষধ,This is a medicine,2
কচু,এটি একটি কচু,This is a taro,2
কচুয়া,এটি একটি কচুয়া,This is a green,2
কথা,এটি একটি কথা,This is a talk,2
কবি,সে একজন কবি,He is a poet,2
কম্বল,এটি একটি কম্বল,This is a blanket,2
কর্ণ,এটি একটি কর্ণ,This is an ear,2
কান,এটি একটি কান,This is an ear,2
কলা,এটি একটি কলা,This is a banana,2
কলা,এটি একটি কলা,This is a banana,2
কালি,কালি করিলাম,I did it yesterday,0
কালি,কালি করিলাম,I did it yesterday,0
কহা,সে কহে,He speaks,1
কহা,সে কহে,He speaks,1
কাঁচ,এটি একটি কাঁচ,This is a glass,2
কাঁচ,এটি একটি কাঁচ,This is a glass,2
কাছ,এটি একটি কাছ,This is a vicinity,2
কাছ,এটি একটি কাছ,This is a vicinity,2
কাটা,এটি কাটে,This cuts,1
কাটা,এটি কাটে,This cuts,1
কাটা,এটি কাটে,This cuts,1
কাঠ,এটি কাঠ,This is wood,1
কাতি,মাস কাতি,The month is Kartika,1
কিন্তু,কিন্তু করলাম,But I did,0
কুঁকড়া,এটি একটি কুঁকড়া,This is a rooster,2
কুকুর,এটি একটি কুকুর,This is a dog,2
কুটুম,সে একজন কুটুম,He is a relative,2
কৃষ্ণ,সে কৃষ্ণ,He is Krishna,1
কেন্দ্ৰ,এটি একটি কেন্দ্ৰ,This is a center,2
কেলা,এটি একটি কেলা,This is a banana,2
কোটি,এটি একটি কোটি,This is a crore,2
কোদাল,এটি একটি কোদাল,This is a spade,2
কোন,কোনটা ভাল?,Which one is good?,1
ক্যা,ক্যা করলাম ?,Why did I do it?,0
ক্রিয়া,এটি একটি ক্রিয়া,This is a verb,2
খাট,এটি একটি খাট,This is a bed,2
খাদ্য,এটি একটি খাদ্য,This is a food,2
গম,এটি একটি গম,This is a wheat,2
গলা,এটি একটি গলা,This is a neck,2
গলা,এটি একটি গলা,This is a neck,2
গলা,এটি একটি গলা,This is a neck,2
গাঁও,এটি একটি গাঁও,This is a village,2
গাঁও,এটি একটি গাঁও,This is a village,2
গু,এটি গু,This is excrement,1
গুহা,এটি একটি গুহা,This is a cave,2
গোলন্দাজ,সে একজন গোলন্দাজ,He is a gunner,2
গোলন্দাজ,সে একজন গোলন্দাজ,He is a gunner,2
গোসাঁই,সে একজন গোসাঁই,He is a lord,2
গোসাঁই,সে একজন গোসাঁই,He is a lord,2
গোসাঁই,সে একজন গোসাঁই,He is a lord,2
ঘড়ি,এটি একটি ঘড়ি,This is a watch,2
ঘাম,এটি ঘাম,This is sweat,1
ঘামা,সে ঘামে,He sweats,1
ঘামা,সে ঘামে,He sweats,1
ঘোড়া,এটি একটি ঘোড়া,This is a horse,2
চলা,সে চলে,He walks,1
চাঁদ,এটি একটি চাঁদ,This is a moon,2
চাঁদ,এটি একটি চাঁদ,This is a moon,2
চাঁদ,এটি একটি চাঁদ,This is a moon,2
