Unnamed: 0,Unnamed: 0.1,Bengali,Example Sentence,Translation,Index,ass_translated
0,0,অংক,এটি অংক,This is math,1,এইটো <m>অংক</m>
1,1,অঙ্ক,এটি অঙ্ক,This is math,1,এইটো <m>অংক</m>
2,2,অংশু,এটি একটি অংশু,This is a sunbeam,2,এইটো এটা <m>আঁহ</m>
3,3,অক্ষ,এটি একটি অক্ষ,This is a die,2,এইটো এটা <m>অক্ষ</m>
4,4,অগ্নি,এটি একটি অগ্নি,This is a fire,2,এইটো এটা <m>অগ্নি</m>
5,5,অগ্নি,এটি একটি অগ্নি,This is a fire,2,এইটো এটা <m>আগুনি</m>
6,6,আগুন,এটি একটি আগুন,This is a fire,2,এইটো এটা <m>অগ্নি</m>
7,7,আগুন,এটি একটি আগুন,This is a fire,2,এইটো এটা <m>আগুনি</m>
8,8,অনুবাদ,এটি একটি অনুবাদ,This is a translation,2,এইটো এটা <m>অনুবাদ</m>
9,9,অনুমতি,এটি অনুমতি,This is permission,1,এইটো <m>অনুমতি</m>
10,10,অবতার,সে একজন অবতার,He is an avatar,2,তেওঁ এজন <m>অৱতাৰ</m>
11,11,অশোক,সে অশোক,He is Ashok,1,তেওঁ <m>অশোক</m>
12,12,অস্থি,এটি একটি,This is a bone,2,এইটো এটা <m>অস্থি</m>
13,13,আঁই,এ আঁই,This is me,1,এইটো <m>আমি</m>
14,14,আমি,এ আমি,This is me,1,এইটো <m>আমি</m>
15,15,আঁকা,এটি একটি আঁকা,This is a drawing,2,এইটো এটা <m>আঁক</m>
16,16,আঁঠু,এটি একটি আঁঠু,This is a knee,2,এইটো এটা <m>আঁঠু</m>
17,17,আঁডু,এটি একটি আঁডু,This is a knee,2,এইটো এটা <m>আঁঠু</m>
18,18,আকাশ,এটি একটি আকাশ,This is a sky,2,এইটো এটা <m>আকাশ</m>
19,19,আছে,এটি আছে,This exists,1,এইটো <m>আছে</m>
20,20,আজি,আজি করিলাম,I did it today,0,মই এইটো <m>আজি</m> কৰিলোঁ
21,21,আট,এটি একটি আট,This is an eight,2,এইটো এটা <m>আঠ</m>
22,22,আষ্ট,এটি একটি আষ্ট,This is an eight,2,এইটো এটা <m>আঠ</m>
23,23,আদা,এটি একটি আদা,This is a ginger,2,এইটো এটা <m>আদা</m>
24,24,আম,এটি একটি আম,This is a mango,2,এইটো এটা <m>আম</m>
25,25,ইতিহাস,এটি একটি ইতিহাস,This is a history,2,এইটো এটা <m>ইতিহাস</m>
26,26,উট,এটি একটি উট,This is a camel,2,এইটো এটা <m>উট</m>
27,27,উত্তর,এটি একটি উত্তর,This is an answer,2,এইটো এটা <m>উত্তৰ</m>
28,28,উপত্যকা,এটি একটি উপত্যকা,This is a valley,2,এইখন এখন <m>উপত্যকা</m>
29,29,উপন্যাস,এটি একটি উপন্যাস,This is a novel,2,এইখন এখন  <m>উপন্যাস</m>
30,30,ঋতু,এটি একটি ঋতু,This is a season,2,এইটো এটা <m>ঋতু</m>
31,31,এক,এটি একটি এক,This is a one,2,এইটো এটা <m>আক</m>
32,32,এক,এটি একটি এক,This is a one,2,এইটো এটা <m>এক</m>
33,33,একলা,একলা করলাম,I did it alone,1,মই ে<m>অকলে</m> কৰিলোঁ
34,34,একলা,একলা করলাম,I did it alone,1,মই ে<m>অকলে</m> কৰিলোঁ
35,35,একতা,এটি একতা,This is unity,1,এইটো <m>একতা</m>
36,36,ঔষধ,এটি একটি ঔষধ,This is a medicine,2,এইটো এটা <m>ঔষধ</m>
37,37,কচু,এটি একটি কচু,This is a taro,2,এইটো এটা <m>কচু</m>
38,38,কচুয়া,এটি একটি কচুয়া,This is a green,2,এইটো এটা <m>কচু</m>
39,39,কথা,এটি একটি কথা,This is a talk,2,এইটো এটা <m>কথা</m>
40,40,কবি,সে একজন কবি,He is a poet,2,তেওঁ এজন <m>কবি</m>
41,41,কম্বল,এটি একটি কম্বল,This is a blanket,2,এইখন এখন <m>কম্বল</m>
42,42,কর্ণ,এটি একটি কর্ণ,This is an ear,2,এইখন এখন <m>কাণ</m>
43,43,কান,এটি একটি কান,This is an ear,2,এইখন এখন<m>কাণ</m>
44,44,কলা,এটি একটি কলা,This is a banana,2,এইটো এটা <m>কল</m> 
45,45,কলা,এটি একটি কলা,This is a banana,2,এইটো এটা <m>কল</m>
46,46,কালি,কালি করিলাম,I did it yesterday,0,<m>কালি</m> কৰিছিলো
47,47,কালি,কালি করিলাম,I did it yesterday,0,<m>কালি</m> কৰিছিলো
48,48,কহা,সে কহে,He speaks,1,তেওঁ <m>কয়</m>
49,49,কহা,সে কহে,He speaks,1,তেওঁ <m>কয়</m>
50,50,কাঁচ,এটি একটি কাঁচ,This is a glass,2,এইখন এখন <m>কাঁচ</m>
51,51,কাঁচ,এটি একটি কাঁচ,This is a glass,2,এইটো এটা <m>কাচ</m>
52,52,কাছ,এটি একটি কাছ,This is a vicinity,2,এইটো এটা <m>কাছ</m>
53,53,কাছ,এটি একটি কাছ,This is a vicinity,2,এইটো এটা <m>কাছু</m>
54,54,কাটা,এটি কাটে,This cuts,1,এটি <m>কটা</m>
55,55,কাটা,এটি কাটে,This cuts,1,এটি <m>কাট</m>
56,56,কাটা,এটি কাটে,This cuts,1,এটি <m>কাটা</m>
57,57,কাঠ,এটি কাঠ,This is wood,1,এইটো <m>কাঠ</m>
58,58,কাতি,মাস কাতি,The month is Kartika,1,<m>কাতি</m> মাহ
59,59,কিন্তু,কিন্তু করলাম,But I did,0,<m>কিন্তু</m> মই এইটো কৰিছিলো
60,60,কুঁকড়া,এটি একটি কুঁকড়া,This is a rooster,2,এইটো এটা <m>কুকুৰা</m>
61,61,কুকুর,এটি একটি কুকুর,This is a dog,2,এইটো এটা <m>কুকুৰ</m>
62,62,কুটুম,সে একজন কুটুম,He is a relative,2,তেওঁ এজন <m>কুটুম</m>
63,63,কৃষ্ণ,সে কৃষ্ণ,He is Krishna,1,তেওঁ <m>কৃষ্ণ</m>
64,64,কেন্দ্ৰ,এটি একটি কেন্দ্ৰ,This is a center,2,এইটো এটা <m>কেন্দ্ৰ</m>
65,65,কেলা,এটি একটি কেলা,This is a banana,2,এইটো এটা <m>কল</m>
66,66,কোটি,এটি একটি কোটি,This is a crore,2,এইটো এটা <m>কোটি</m>
67,67,কোদাল,এটি একটি কোদাল,This is a spade,2,এইটো এটা <m>কোদাল</m>
68,68,কোন,কোনটা ভাল?,Which one is good?,1,<m>কোনটো</m> ভাল?
69,69,ক্যা,ক্যা করলাম ?,Why did I do it?,0,<m>কিয়</m> কৰিলোঁ?
70,70,ক্রিয়া,এটি একটি ক্রিয়া,This is a verb,2,এইটো এটা <m>ক্ৰিয়া</m>
71,71,খাট,এটি একটি খাট,This is a bed,2,এইটো এটা <m>খাট</m>
72,72,খাদ্য,এটি একটি খাদ্য,This is a food,2,এইটো এটা <m>খানা</m>
73,73,গম,এটি একটি গম,This is a wheat,2,এইটো এটা <m>গম</m>
74,74,গলা,এটি একটি গলা,This is a neck,2,এইটো এটা <m>গলা</m>
75,75,গলা,এটি একটি গলা,This is a neck,2,এইটো এটা <m>গিলা</m>
76,76,গলা,এটি একটি গলা,This is a neck,2,এইটো এটা <m>গেলা</m>
77,77,গাঁও,এটি একটি গাঁও,This is a village,2,এইখন এখন <m>গাঁউ</m>
78,78,গাঁও,এটি একটি গাঁও,This is a village,2,এইখন এখন <m>গাঁও</m>
79,79,গু,এটি গু,This is excrement,1,এইটো <m>গু</m>
80,80,গুহা,এটি একটি গুহা,This is a cave,2,এইটো এটা <m>গুহা</m>
81,81,গোলন্দাজ,সে একজন গোলন্দাজ,He is a gunner,2,তেওঁ এজন  <m>গুলী</m>
82,82,গোলন্দাজ,সে একজন গোলন্দাজ,He is a gunner,2,তেওঁ এজন <m>গোল</m>
83,83,গোসাঁই,সে একজন গোসাঁই,He is a lord,2,তেওঁ এজন <m>গোসাঁই</m>
