Bengali,Example Sentence,Translation,Index
অংক,এটি <m>অংক</m>,This is math,1
অঙ্ক,এটি <m>অঙ্ক</m>,This is math,1
অংশু,এটি একটি <m>অংশু</m>,This is a sunbeam,2
অক্ষ,এটি একটি <m>অক্ষ</m>,This is a die,2
অগ্নি,এটি একটি <m>অগ্নি</m>,This is a fire,2
অগ্নি,এটি একটি <m>অগ্নি</m>,This is a fire,2
আগুন,এটি একটি <m>আগুন</m>,This is a fire,2
আগুন,এটি একটি <m>আগুন</m>,This is a fire,2
অনুবাদ,এটি একটি <m>অনুবাদ</m>,This is a translation,2
অনুমতি,এটি <m>অনুমতি</m>,This is permission,1
অবতার,সে একজন <m>অবতার</m>,He is an avatar,2
অশোক,সে <m>অশোক</m>,He is Ashok,1
অস্থি,এটি একটি <m>অস্থি</m>,This is a bone,2
আঁই,এ <m>আঁই</m>,This is me,1
আমি,এ <m>আমি</m>,This is me,1
আঁকা,এটি একটি <m>আঁকা</m>,This is a drawing,2
আঁঠু,এটি একটি <m>আঁঠু</m>,This is a knee,2
আঁডু,এটি একটি <m>আঁডু</m>,This is a knee,2
আকাশ,এটি একটি <m>আকাশ</m>,This is a sky,2
আছে,এটি <m>আছে</m>,This exists,1
আজি,<m>আজি</m> করিলাম,I did it today,0
আট,এটি একটি <m>আট</m>,This is an eight,2
আষ্ট,এটি একটি <m>আষ্ট</m>,This is an eight,2
আদা,এটি একটি <m>আদা</m>,This is a ginger,2
আম,এটি একটি <m>আম</m>,This is a mango,2
ইতিহাস,এটি একটি <m>ইতিহাস</m>,This is a history,2
উট,এটি একটি <m>উট</m>,This is a camel,2
উত্তর,এটি একটি <m>উত্তর</m>,This is an answer,2
উপত্যকা,এটি একটি <m>উপত্যকা</m>,This is a valley,2
উপন্যাস,এটি একটি <m>উপন্যাস</m>,This is a novel,2
ঋতু,এটি একটি <m>ঋতু</m>,This is a season,2
এক,এটি একটি <m>এক</m>,This is a one,2
এক,এটি একটি <m>এক</m>,This is a one,2
একলা,একলা <m>করলাম</m>,I did it alone,1
একলা,একলা <m>করলাম</m>,I did it alone,1
একতা,এটি <m>একতা</m>,This is unity,1
ঔষধ,এটি একটি <m>ঔষধ</m>,This is a medicine,2
কচু,এটি একটি <m>কচু</m>,This is a taro,2
কচুয়া,এটি একটি <m>কচুয়া</m>,This is a green,2
কথা,এটি একটি <m>কথা</m>,This is a talk,2
কবি,সে একজন <m>কবি</m>,He is a poet,2
কম্বল,এটি একটি <m>কম্বল</m>,This is a blanket,2
কর্ণ,এটি একটি <m>কর্ণ</m>,This is an ear,2
কান,এটি একটি <m>কান</m>,This is an ear,2
কলা,এটি একটি <m>কলা</m>,This is a banana,2
কলা,এটি একটি <m>কলা</m>,This is a banana,2
কালি,<m>কালি</m> করিলাম,I did it yesterday,0
কালি,<m>কালি</m> করিলাম,I did it yesterday,0
কহা,সে <m>কহে</m>,He speaks,1
কহা,সে <m>কহে</m>,He speaks,1
কাঁচ,এটি একটি <m>কাঁচ</m>,This is a glass,2
কাঁচ,এটি একটি <m>কাঁচ</m>,This is a glass,2
কাছ,এটি একটি <m>কাছ</m>,This is a vicinity,2
কাছ,এটি একটি <m>কাছ</m>,This is a vicinity,2
কাটা,এটি <m>কাটে</m>,This cuts,1
কাটা,এটি <m>কাটে</m>,This cuts,1
কাটা,এটি <m>কাটে</m>,This cuts,1
কাঠ,এটি <m>কাঠ</m>,This is wood,1
কাতি,মাস <m>কাতি</m>,The month is Kartika,1
কিন্তু,<m>কিন্তু</m> করলাম,But I did,0
কুঁকড়া,এটি একটি <m>কুঁকড়া</m>,This is a rooster,2
কুকুর,এটি একটি <m>কুকুর</m>,This is a dog,2
কুটুম,সে একজন <m>কুটুম</m>,He is a relative,2
কৃষ্ণ,সে <m>কৃষ্ণ</m>,He is Krishna,1
কেন্দ্ৰ,এটি একটি <m>কেন্দ্ৰ</m>,This is a center,2
কেলা,এটি একটি <m>কেলা</m>,This is a banana,2
কোটি,এটি একটি <m>কোটি</m>,This is a crore,2
কোদাল,এটি একটি <m>কোদাল</m>,This is a spade,2
কোন,<m>কোনটা</m> ভাল?,Which one is good?,1
ক্যা,<m>ক্যা</m> করলাম ?,Why did I do it?,0
ক্রিয়া,এটি একটি <m>ক্রিয়া</m>,This is a verb,2
খাট,এটি একটি <m>খাট</m>,This is a bed,2
খাদ্য,এটি একটি <m>খাদ্য</m>,This is a food,2
গম,এটি একটি <m>গম</m>,This is a wheat,2
গলা,এটি একটি <m>গলা</m>,This is a neck,2
গলা,এটি একটি <m>গলা</m>,This is a neck,2
গলা,এটি একটি <m>গলা</m>,This is a neck,2
গাঁও,এটি একটি <m>গাঁও</m>,This is a village,2
গাঁও,এটি একটি <m>গাঁও</m>,This is a village,2
গু,এটি <m>গু</m>,This is excrement,1
গুহা,এটি একটি <m>গুহা</m>,This is a cave,2
গোলন্দাজ,সে একজন <m>গোলন্দাজ</m>,He is a gunner,2
গোলন্দাজ,সে একজন <m>গোলন্দাজ</m>,He is a gunner,2
গোসাঁই,সে একজন <m>গোসাঁই</m>,He is a lord,2
গোসাঁই,সে একজন <m>গোসাঁই</m>,He is a lord,2
গোসাঁই,সে একজন <m>গোসাঁই</m>,He is a lord,2
ঘড়ি,এটি একটি <m>ঘড়ি</m>,This is a watch,2
ঘাম,এটি <m>ঘাম</m>,This is sweat,1
ঘামা,সে <m>ঘামে</m>,He sweats,1
ঘামা,সে <m>ঘামে</m>,He sweats,1
ঘোড়া,এটি একটি <m>ঘোড়া</m>,This is a horse,2
চলা,সে <m>চলে</m>,He walks,1
চাঁদ,এটি একটি <m>চাঁদ</m>,This is a moon,2
চাঁদ,এটি একটি <m>চাঁদ</m>,This is a moon,2
চাঁদ,এটি একটি <m>চাঁদ</m>,This is a moon,2
চাঁদ,এটি একটি <m>চাঁদ</m>,This is a moon,2
চান,এটি একটি <m>চান</m>,This is a shower,2
চান,এটি একটি <m>চান</m>,This is a shower,2
চান,এটি একটি <m>চান</m>,This is a shower,2
চান,এটি একটি <m>চান</m>,This is a shower,2
চাকা,এটি একটি <m>চাকা</m>,This is a wheel,2
চাকা,এটি একটি <m>চাকা</m>,This is a wheel,2
চাকা,এটি একটি <m>চাকা</m>,This is a wheel,2
চাকা,এটি একটি <m>চাকা</m>,This is a wheel,2
চাকা,এটি একটি <m>চাকা</m>,This is a wheel,2
চিন্তা,এটি একটি <m>চিন্তা</m>,This is a thought,2
চৈত,মাস <m>চৈত</m>,The month is Chaitra,1
ছবি,এটি একটি <m>ছয়</m>,This is a picture,2
ছয়,এটি একটি <m>ছয়</m>,This is a six,2
ছাগলী,এটি একটি <m>ছাগলী</m>,This is a goat,2
জন্তু,এটি একটি <m>জন্তু</m>,This is an animal,2
জল,এটি <m>জল</m>,This is water,1
জানা,সে <m>জানে</m>,He knows,1
জানা,সে <m>জানে</m>,He knows,1
জেঠ,মাস <m>জেঠ</m>,The month is Jyaistha,1
জ্ঞান,এটি <m>জ্ঞান</m>,This is knowledge,1
ঝিঙা,এটি একটি <m>টাং</m>,This is a ridge gourd,2
টাং,এটি একটি <m>টাং</m>,This is a foot,2
টাং,এটি একটি <m>টাং</m>,This is a foot,2
টাং,এটি একটি <m>টাং</m>,This is a foot,2
টাকা,এটি <m>টাকা</m> ,This is money,1
টাকা,এটি <m>টাকা</m> ,This is money,1
টাকা,এটি <m>টাকা</m> ,This is money,1
টেহা,এটি <m>টেহা</m> ,This is money,1
টেহা,এটি <m>টেহা</m> ,This is money,1
টেহা,এটি <m>টেহা</m> ,This is money,1
ঠেং,এটি একটি <m>ঠেং</m> ,This is a leg,2
ঠেং,এটি একটি <m>ঠেং</m> ,This is a leg,2
ঠেং,এটি একটি <m>ঠেং</m> ,This is a leg,2
ডাঁশ,এটি একটি <m>ডাঁশ</m> ,This is a gnat,2
ডাঙর,এটি <m>ডাঙর</m> ,This is big,1
ডাঙর,এটি <m>ডাঙর</m> ,This is big,1
ডাঙর,এটি <m>ডাঙর</m> ,This is big,1
ডিম,এটি একটি <m>ডিম</m> ,This is an egg,2
ডিম,এটি একটি <m>ডিম</m> ,This is an egg,2
ঢোল,এটি একটি <m>ঢোল</m>,This is a Dhol,2
তাই,<m>তাই</m> করলাম ,Therefore I did it,0
তামা,এটি <m>তামা</m>,This is copper,1
তিতা,এটি <m>তিতা</m>,This is bitter,1
তিমি,এটি একটি <m>তিমি</m>,This is a whale,2
তুমি,এ <m>তুমি</m>,This is you,1
তেল,এটি <m>তেল</m>,This is oil,1
দশ,এটি একটি <m>দশ</m>,This is a ten,2
দাঁত,এটি একটি <m>দাঁত</m>,This is a tooth,2
দাউদাউ,<m>দাউদাউ</m> করে আগুন জ্বলছে,The fire is burning wildly,0
দাড়ি,এটি একটি <m>দাড়ি</m>,This is a beard,2
দাম,এটি একটি <m>দাম</m>,This is a price,2
দিন,এটি একটি <m>দিন</m>,This is a day,2
দুঃখ,এটি একটি <m>দুঃখ</m>,This is a sorrow,2
দুখ,এটি একটি <m>দুখ</m>,This is a sorrow,2
দুই,এটি একটি <m>দুই</m>,This is a two,2
দুগ্ধ,এটি <m>দুগ্ধ</m>,This is milk,1
দুধ,এটি <m>দুধ</m>,This is milk,1
দ্বার,এটি একটি <m>দ্বার</m>,This is a door,2
দ্বীপ,এটি একটি <m>দ্বীপ</m>,This is a lamp,2
ধনিয়া,এটি <m>ধনিয়া</m>,This is coriander,1
ধন্যবাদ,এটি একটি <m>ধন্যবাদ</m>,This is a thanks,2
ধর্ম,এটি একটি <m>ধর্ম</m>,This is a religion,2
ধুমা,এটি <m>ধুমা</m>,This is smoke,1
ধোঁয়া,এটি <m>ধোঁয়া</m>,This is smoke,1
নখ,এটি একটি <m>নখ</m>,This is a nail,2
নগর,এটি একটি <m>নগর</m>,This is a city,2
নতুন,এটি <m>নতুন</m>,This is new,1
নদী,এটি একটি <m>নদী</m>,This is a river,2
নাই,এটি একটি <m>নাই</m>,This is a boat,2
নাও,এটি একটি <m>নাও</m>,This is a boat,2
নাম,এটি একটি <m>নাম</m>,This is a name,2
নীল,এটি <m>নীল</m>,This is blue,1
নীহারিকা,এটি একটি <m>নীহারিকা</m>,This is a nebula,2
পদ্ম,এটি একটি <m>পদ্ম</m>,This is a lotus,2
পশু,এটি একটি <m>পশু</m>,This is an animal,2
পাঁচ,এটি একটি <m>পাঁচ</m>,This is a five,2
পাখ,এটি একটি <m>পাখ</m>,This is a wing,2
পাখা,এটি একটি <m>পাখা</m>,This is a wing,2
পাখি,এটি একটি <m>পাখি</m>,This is a bird,2
পাণ,এটি একটি <m>পাণ</m>,This is a betel leaf,2
পাতা,এটি একটি <m>পাতা</m>,This is a leaf,2
পানি,এটি <m>পানি</m>,This is water,1
পানীয়,এটি <m>পানীয়</m>,This is drinkable,1
পায়স,এটি <m>পায়স</m>,This is kheer,1
পিতা,সে একজন <m>পিতা</m>,He is a father,2
পিন্ধা,সে <m>পিন্ধে</m>,He wears,1
পিন্ধা,সে <m>পিন্ধে</m>,He wears,1
পুত,সে একজন <m>পুত</m>,He is a son,2
পুরুষ,সে একজন <m>পুরুষ</m>,He is a man,2
পুষ্প,এটি একটি <m>পুষ্প</m>,This is a flower,2
পুস্তক,এটি একটি <m>পুস্তক</m>,This is a book,2
পেঁচা,এটি একটি <m>পেঁচা</m>,This is an owl,2
পো,সে একজন <m>পো</m>,He is a son,2
পোলা,সে একজন <m>পোলা</m>,He is a boy ,2
পোলা,সে একজন <m>পোলা</m>,He is a boy ,2
পোলা,সে একজন <m>পোলা</m>,He is a boy ,2
পোষ,মাস <m>পোষ</m>,The month is Pausha,1
প্রাচীন,এটি <m>প্রাচীন</m>,This is old,1
ফণী,এটি একটি <m>ফণী</m>,This is a snake,2
ফল,এটি একটি <m>ফল</m>,This is a fruit,2
ফুল,এটি একটি <m>ফুল</m>,This is a flower,2
বঙ্গ,এটি <m>বঙ্গ</m>,This is Bengal,1
বাংলা,এটি <m>বাংলা</m>,This is Bengali,1
বাঙালি,সে একজন <m>বাঙালি</m>,He is a Bengali,2
বাঙ্গালী,সে একজন <m>বাঙ্গালী</m>,He is a Bengali,2
বস্তু,এটি একটি <m>বস্তু</m>,This is an object,2
বহুত,এটি <m>বহুত</m>,This is a lot,1
বা,এটি <m>বা</m> ওটি,This or that,1
বাঁশ,এটি <m>বাঁশ</m>,This is bamboo,1
বাউল,সে একজন <m>বাউল</m>,He is a Baul,2
বাউল,সে একজন <m>বাউল</m>,He is a Baul,2
বাঘ,এটি একটি <m>বাঘ</m>,This is a tiger,2
ব্যাঘ্র,এটি একটি <m>ব্যাঘ্র</m>,This is a tiger,2
বাজ,এটি <m>বাজ</m>,This is thunder,1
বাজ,এটি <m>বাজ</m>,This is thunder,1
বাট,এটি একটি <m>বাট</m>,This is a path,2
বান,এটি একটি <m>বান</m>,This is a flood,2
বায়ু,এটি একটি <m>বায়ু</m>,This is a wind,2
বাল,সে একজন <m>বাল</m>,This is a boy,2
বিছা,এটি একটি <m>বিছা</m>,This is a scorpion,2
বিছা,এটি একটি <m>বিছা</m>,This is a scorpion,2
বিজ্ঞান,এটি <m>বিজ্ঞান</m>,This is science,1
বিলাই,এটি একটি <m>বিলাই</m>,This is a cat,2
বিলাই,এটি একটি <m>বিলাই</m>,This is a cat,2
বিষ,এটি একটি <m>বিষ</m>,This is a poison,2
বিষ,এটি একটি <m>বিষ</m>,This is a poison,2
বুদ্ধি,এটি <m>বুদ্ধি</m>,This is intelligence,1
বুধবার,দিন <m>বুধবার</m>,The day is Wednesday,1
বেঁকা,এটি <m>বেঁকা</m>,This is bent,1
বেল,এটি একটি <m>বেল</m>,This is a bael,2
বোন,এটি একটি <m>বেল</m>,This is a bael,2
বোন,এটি একটি <m>বেল</m>,This is a bael,2
ব্যবহার,এটি একটি <m>ব্যবহার</m>,This is a behavior,2
ব্যাকরণ,এটি <m>ব্যাকরণ</m>,This is grammar,1
ভইষ,এটি একটি <m>ভইষ</m>,This is a buffalo,2
মহিষ,এটি একটি <m>মহিষ</m>,This is a buffalo,2
ভয়,এটি <m>ভয়</m>,This is fear,1
ভাই,সে একজন <m>ভাই</m>,He is a brother,2
ভাজা,এটি <m>ভাজা</m>,This is fried,1
ভাজা,এটি <m>ভাজা</m>,This is fried,1
ভাত,এটি <m>ভাত</m>,This is rice,1
ভাত,এটি <m>ভাত</m>,This is rice,1
ভারত,এটি <m>ভারত</m>,This is India,1
ভাল,এটি <m>ভাল</m>,This is good,1
ভালুক,এটি একটি <m>ভালুক</m>,This is a bear,2
ভাষা,এটি একটি <m>ভাষা</m>,This is a language,2
মই,এটি একটি <m>মই</m>,This is a ladder,2
মকাই,এটি <m>মকাই</m>,This is maize,1
মাহই,এটি <m>মাহই</m>,This is maize,1
মঙ্গলবার,দিন <m>মঙ্গলবার</m>,The day is Tuesday,1
ময়ূর,এটি একটি <m>ময়ূর</m>,This is a peacock,2
ময়ূর,এটি একটি <m>ময়ূর</m>,This is a peacock,2
মাংস,এটি <m>মাংস</m>,This is meat,1
মাংস,এটি <m>মাংস</m>,This is meat,1
মাক্‌খি,এটি একটি <m>মাক্‌খি</m>,This is a fly,2
মাছ,এটি একটি <m>মাছ</m>,This is a fish,2
মাঝ,এটি <m>মাঝ</m>,This is the middle,1
মাত,এটি একটি <m>মাত</m>,This is a speech,2
মাতা,সে একজন <m>মাতা</m>,She is a mother,2
মিছা,এটি একটি <m>মিছা</m>,This is a lie,2
মিঠা,এটি <m>মিঠা</m>,This is sweet,1
মিডা,এটি <m>মিডা</m>,This is sweet,1
মিষ্টি,এটি <m>মিষ্টি</m>,This is sweet,1
মু,এটি একটি <m>মু</m>,This is a face,2
মুখ,এটি একটি <m>মুখ</m>,This is a face,2
মুঠা,এটি একটি <m>মুঠা</m>,This is a fist,2
মুঠা,এটি একটি <m>মুঠা</m>,This is a fist,2
মুঠা,এটি একটি <m>মুঠা</m>,This is a fist,2
মুঠি,এটি একটি <m>মুঠি</m>,This is a fist,2
মুঠি,এটি একটি <m>মুঠি</m>,This is a fist,2
মুঠি,এটি একটি <m>মুঠি</m>,This is a fist,2
মুঠো,এটি একটি <m>মুঠো</m>,This is a fist,2
মুঠো,এটি একটি <m>মুঠো</m>,This is a fist,2
মুঠো,এটি একটি <m>মুঠো</m>,This is a fist,2
মূত্র,এটি <m>মূত্র</m>,This is urine,1
মূল,এটি <m>মূল</m>,This is the root,1
মৃত্যু,এটি একটি <m>মৃত্যু</m>,This is a death,2
মেঘ,এটি একটি <m>মেঘ</m>,This is a cloud,2
মেয়ে,সে একজন <m>মেয়ে</m>,She is a girl,2
মৈ,এটি একটি <m>মৈ</m>,This is a ladder,2
যুদ্ধ,এটি একটি <m>যুদ্ধ</m>,This is a war,2
যোনি,এটি একটি <m>যোনি</m>,This is a vagina,2
রং,এটি একটি <m>রং</m>,This is a color,2
রং,এটি একটি <m>রং</m>,This is a color,2
রঙ,এটি একটি <m>রঙ</m>,This is a color,2
রঙ,এটি একটি <m>রঙ</m>,This is a color,2
রাং,এটি <m>রাং</m>,This is tin,1
রাং,এটি <m>রাং</m>,This is tin,1
রউন,এটি <m>রউন</m>,This is garlic,1
রসুন,এটি <m>রসুন</m>,This is garlic,1
রচনা,এটি একটি <m>রচনা</m>,This is a composition,2
রবিবার,দিন <m>রবিবার</m>,The day is Sunday,1
রাষ্ট্র,এটি একটি <m>রাষ্ট্র</m>,This is a nation,2
লবণ,এটি <m>লবণ</m>,This is salt,1
লাউ,এটি <m>লাউ</m>,This is calabash,1
লাউ,এটি <m>লাউ</m>,This is calabash,1
লাখ,এটি একটি <m>লাখ</m>,This is a lakh,2
লাজ,এটি <m>লাজ</m>,This is shame,1
লিপি,এটি একটি <m>লিপি</m>,This is a writing,2
শনিবার,দিন <m>শনিবার</m>,The day is Saturday,1
শব্দ,এটি একটি <m>শব্দ</m>,This is a word,2
শাওন,মাস <m>শাওন</m>,The month is Shraavana,1
শিক্ষা,এটি <m>শিক্ষা</m>,This is learning,1
শিক্ষা,এটি <m>শিক্ষা</m>,This is learning,1
শিক্ষা,এটি <m>শিক্ষা</m>,This is learning,1
শিল,এটি একটি <m>শিল</m>,This is a stone,2
শুখা,এটি <m>শুখা</m>,This is dry,1
শূন্য,এটি <m>শূন্য</m>,This is empty,1
শেখা,সে <m>শেখে</m>,He learns,1
শৈবাল,এটি <m>শৈবাল</m>,This is algae,1
শ্রী,<m>শ্রী</m> রাম এখানে আছেন,Mr. Ram is here,0
শ্রীবৃক্ষ,এটি একটি <m>শ্রীবৃক্ষ</m>,This is a bael fruit tree,2
সকল,এটি <m>সকল</m>,This is all,1
হক্কল,এটি <m>হক্কল</m>,This is all,1
হগল,এটি <m>হগল</m>,This is all,1
সন্ধ্যা,এটি একটি <m>সন্ধ্যা</m>,This is an evening,2
সাঁঝ,এটি একটি <m>সাঁঝ</m>,This is an evening,2
সময়,এটি <m>সময়</m>,This is time ,1
সমান,এটি <m>সমান</m>, This is the same,1
সমানে,<m>সমানে</m> করলাম,I did it ceaselessly,0
হমান,এটি <m>হমান</m>,This is the same,1
সর্প,এটি একটি <m>সর্প</m>,This is a snake,2
সাপ,এটি একটি <m>সাপ</m>,This is a snake,2
সহা,সে <m>সহে</m>,He tolerates,1
সাঁকো,এটি একটি <m>সাঁকো</m>,This is a bamboo bridge,2
সাঁচা,এটি <m>সাঁচা</m>,This is true,1
সাঁচা,এটি <m>সাঁচা</m>,This is true,1
সাগর,এটি একটি <m>সাগর</m>,This is a sea,2
হাওর,এটি একটি <m>হাওর</m>,This is a waterlogged expanse,2
সাত,এটি একটি <m>সাত</m>,This is a seven,2
সিংহ,এটি একটি <m>সিংহ</m>,This is a lion,2
সোমবার,দিন <m>সোমবার</m>,The day is Monday,1
স্বাধীনতা,এটি <m>স্বাধীনতা</m>,This is freedom,1
হাচা,এটি <m>হাচা</m>,This is true,1
হাট,এটি একটি <m>হাট</m>,This is a market,2
হাট,এটি একটি <m>হাট</m>,This is a market,2
হাত,এটি একটি <m>হাত</m>,This is a hand,2
হামি,এ <m>হামি</m>,This is me,1
হাল,এটি একটি <m>হাল</m>, This is a situation,2
হিংসা,এটি <m>হিংসা</m>,This is jealousy,1
হিম,এটি <m>হিম</m>,This is winter,1
হিয়া,এটি একটি <m>হিয়া</m>,This is a heart,2
হৃদয়,এটি একটি <m>হৃদয়</m>,This is a heart,2
