Bengali,Example Sentence,Translation
অংক,এটি অংক,This is math
অঙ্ক,এটি অঙ্ক,This is math
অংশু,এটি একটি অংশু,This is a sunbeam
অক্ষ,এটি একটি অক্ষ,This is a die
অগ্নি,এটি একটি অগ্নি,This is a fire
অগ্নি,এটি একটি অগ্নি,This is a fire
আগুন,এটি একটি আগুন,This is a fire
আগুন,এটি একটি আগুন,This is a fire
অনুবাদ,এটি একটি অনুবাদ,This is a translation
অনুমতি,এটি অনুমতি,This is permission
অবতার,সে একজন অবতার,He is an avatar
অশোক,সে অশোক,He is Ashok
অস্থি,এটি একটি,This is a bone
আঁই,এ আঁই,This is me
আমি,এ আমি,This is me
আঁকা,এটি একটি আঁকা,This is a drawing
আঁঠু,এটি একটি আঁঠু,This is a knee
আঁডু,এটি একটি আঁডু,This is a knee
আকাশ,এটি একটি আকাশ,This is a sky
আছে,এটি আছে,This exists
আজি,আজি করিলাম,I did it today
আট,এটি একটি আট,This is an eight
আষ্ট,এটি একটি আষ্ট,This is an eight
আদা,এটি একটি আদা,This is a ginger
আম,এটি একটি আম,This is a mango
ইতিহাস,এটি একটি ইতিহাস,This is a history
উট,এটি একটি উট,This is a camel
উত্তর,এটি একটি উত্তর,This is an answer
উপত্যকা,এটি একটি উপত্যকা,This is a valley
উপন্যাস,এটি একটি উপন্যাস,This is a novel
ঋতু,এটি একটি ঋতু,This is a season
এক,এটি একটি এক,This is a one
এক,এটি একটি এক,This is a one
একলা,একলা করলাম,I did it alone
একলা,একলা করলাম,I did it alone
একতা,এটি একতা,This is unity
ঔষধ,এটি একটি ঔষধ,This is a medicine
কচু,এটি একটি কচু,This is a taro
কচুয়া,এটি একটি কচুয়া,This is a green
কথা,এটি একটি কথা,This is a talk
কবি,সে একজন কবি,He is a poet
কম্বল,এটি একটি কম্বল,This is a blanket
কর্ণ,এটি একটি কর্ণ,This is an ear
কান,এটি একটি কান,This is an ear
কলা,এটি একটি কলা,This is a banana
কলা,এটি একটি কলা,This is a banana
কালি,কালি করিলাম,I did it yesterday
কালি,কালি করিলাম,I did it yesterday
কহা,সে কহে,He speaks
কহা,সে কহে,He speaks
কাঁচ,এটি একটি কাঁচ,This is a glass
কাঁচ,এটি একটি কাঁচ,This is a glass
কাছ,এটি একটি কাছ,This is a vicinity
কাছ,এটি একটি কাছ,This is a vicinity
কাটা,এটি কাটে,This cuts
কাটা,এটি কাটে,This cuts
কাটা,এটি কাটে,This cuts
কাঠ,এটি কাঠ,This is wood
কাতি,মাস কাতি,The month is Kartika
কিন্তু,কিন্তু করলাম,But I did
কুঁকড়া,এটি একটি কুঁকড়া,This is a rooster
কুকুর,এটি একটি কুকুর,This is a dog
কুটুম,সে একজন কুটুম,He is a relative
কৃষ্ণ,সে কৃষ্ণ,He is Krishna
কেন্দ্ৰ,এটি একটি কেন্দ্ৰ,This is a center
কেলা,এটি একটি কেলা,This is a banana
কোটি,এটি একটি কোটি,This is a crore
কোদাল,এটি একটি কোদাল,This is a spade
কোন,কোনটা ভাল?,Which one is good?
ক্যা,ক্যা করলাম ?,Why did I do it?
ক্রিয়া,এটি একটি ক্রিয়া,This is a verb
খাট,এটি একটি খাট,This is a bed
খাদ্য,এটি একটি খাদ্য,This is a food
গম,এটি একটি গম,This is a wheat
গলা,এটি একটি গলা,This is a neck
গলা,এটি একটি গলা,This is a neck
গলা,এটি একটি গলা,This is a neck
গাঁও,এটি একটি গাঁও,This is a village
গাঁও,এটি একটি গাঁও,This is a village
গু,এটি গু,This is excrement
গুহা,এটি একটি গুহা,This is a cave
গোলন্দাজ,সে একজন গোলন্দাজ,He is a gunner
গোলন্দাজ,সে একজন গোলন্দাজ,He is a gunner
গোসাঁই,সে একজন গোসাঁই,He is a lord
গোসাঁই,সে একজন গোসাঁই,He is a lord
গোসাঁই,সে একজন গোসাঁই,He is a lord
ঘড়ি,এটি একটি ঘড়ি,This is a watch
ঘাম,এটি ঘাম,This is sweat
ঘামা,সে ঘামে,He sweats
ঘামা,সে ঘামে,He sweats
ঘোড়া,এটি একটি ঘোড়া,This is a horse
চলা,সে চলে,He walks
চাঁদ,এটি একটি চাঁদ,This is a moon
চাঁদ,এটি একটি চাঁদ,This is a moon
চাঁদ,এটি একটি চাঁদ,This is a moon
চাঁদ,এটি একটি চাঁদ,This is a moon
চান,এটি একটি চান,This is a shower
চান,এটি একটি চান,This is a shower
চান,এটি একটি চান,This is a shower
চান,এটি একটি চান,This is a shower
চাকা,এটি একটি চাকা,This is a wheel
চাকা,এটি একটি চাকা,This is a wheel
চাকা,এটি একটি চাকা,This is a wheel
চাকা,এটি একটি চাকা,This is a wheel
চাকা,এটি একটি চাকা,This is a wheel
চিন্তা,এটি একটি চিন্তা,This is a thought
চৈত,মাস চৈত,The month is Chaitra
ছবি,এটি একটি ছয়,This is a picture
ছয়,এটি একটি ছয়,This is a six
ছাগলী,এটি একটি ছাগলী,This is a goat
জন্তু,এটি একটি জন্তু,This is an animal
জল,এটি জল,This is water
জানা,সে জানে,He knows
জানা,সে জানে,He knows
জেঠ,মাস জেঠ,The month is Jyaistha
জ্ঞান,এটি জ্ঞান,This is knowledge
ঝিঙা,এটি একটি টাং,This is a ridge gourd
টাং,এটি একটি টাং,This is a foot
টাং,এটি একটি টাং,This is a foot
টাং,এটি একটি টাং,This is a foot
টাকা,এটি টেহা ,This is money
টাকা,এটি টেহা ,This is money
টাকা,এটি টেহা ,This is money
টেহা,এটি টেহা ,This is money
টেহা,এটি টেহা ,This is money
টেহা,এটি টেহা ,This is money
ঠেং,এটি একটি ঠেং,This is a leg
ঠেং,এটি একটি ঠেং,This is a leg
ঠেং,এটি একটি ঠেং,This is a leg
ডাঁশ,এটি একটি ডাঁশ,This is a gnat
ডাঙর,এটি ডাঙর,This is big
ডাঙর,এটি ডাঙর,This is big
ডাঙর,এটি ডাঙর,This is big
ডিম,এটি একটি ডিম,This is an egg
ডিম,এটি একটি ডিম,This is an egg
ঢোল,এটি একটি ঢোল,This is a Dhol
তাই,তাই করলাম ,Therefore I did it
তামা,এটি তামা,This is copper
তিতা,এটি তিতা,This is bitter
তিমি,এটি একটি তিমি,This is a whale
তুমি,এ তুমি,এ তুমি
তেল,এটি তেল ,This is oil
দশ,এটি একটি দশ,This is a ten
দাঁত,এটি একটি দাঁত,This is a tooth
দাউদাউ,দাউদাউ করে আগুন জ্বলছে,The fire is burning wildly
দাড়ি,এটি একটি দাড়ি,This is a beard
দাম,এটি একটি দাম,This is a price
দিন,এটি একটি দিন,This is a day
দুঃখ,এটি দুঃখ দুঃখ,This is a sorrow
দুখ,এটি দুখ দুখ,This is a sorrow
দুই,এটি একটি দুই,This is a two
দুগ্ধ,এটি দুগ্ধ,This is milk
দুধ,এটি দুধ,This is milk
দ্বার,এটি একটি দ্বার,This is a door
দ্বীপ,এটি একটি দ্বীপ,This is a lamp
ধনিয়া,এটি ধনিয়া,This is coriander
ধন্যবাদ,এটি একটি ধন্যবাদ,This is a thanks
ধর্ম,এটি একটি ধর্ম,This is a religion
ধুমা,এটি ধুমা,This is smoke
ধোঁয়া,এটি ধোঁয়া,This is smoke
