,loan_word,original_word,loan_word_ipas,original_word_ipas,Fast Levenshtein,Dolgo Prime Distance,Feature Edit Distance,Hamming Feature Distance,Weighted Feature Distance,Fast Levenshtein Distance Div Maxlen,label
0,इस्लाम,اسلام,"['/ɪs.lɑːm/', '[ɪs̪.l̪ä̃ːm]', '/is.lam/', '[isläm]', '[islam]', '/is̪ˈl̪ɑː.mɐ/']","['/ɪs.lɑm/', '/ʔislɑːm/', '/ʔɪslɒːm/', '/ʔeslɒːm/', '/ʔislɔːm/', '/ɪs.lɑːm/']",0,0,0.0,0.0,0.0,0.0,1
1,फ़व्वारा,,"['/pʰəʋ.ʋɑː.ɾɑː/', '[pʰəʋ.ʋäː.ɾäː]', '/fəʋ.ʋɑː.ɾɑː/', '[fəʋ.ʋäː.ɾäː]']",,15,4,3.854166666666667,4.541666666666667,35.625,1.0,0
2,अज़ान,عیاشی,"['/ə.d͡ʒɑːn/', '[ə.d͡ʒä̃ːn̪]', '/ə.zɑːn/', '[ə.zä̃ːn̪]']","['/(ʔ)ə̯i.jɑː.ʃiː/', '/(ʔ)əj.jɑː.ʃiː/']",9,5,3.166666666666667,3.5,31.875,0.5294117647058824,0
3,गुज़श्ता,گذشته,"['/ɡʊ.d͡ʒəʃ.t̪ɑː/', '[ɡʊ.d͡ʒəʃ.t̪äː]', '/ɡʊ.zəʃ.t̪ɑː/', '[ɡʊ.zəʃ.t̪äː]']","['/ɡuðaʃta/', '/ɡʊzaʃta/', '/ɡozæʃte/', '/ɡuzaʃta/']",6,0,0.16666666666666666,0.16666666666666666,1.5,0.4,1
4,सिफ़ारिश,,"['/sɪ.pʰɑː.ɾɪʃ/', '[s̪ɪ.pʰäː.ɾɪʃ]', '/sɪ.fɑː.ɾɪʃ/', '[s̪ɪ.fäː.ɾɪʃ]']",,14,5,3.9791666666666665,4.458333333333333,35.5,1.0,0
5,ताज,شاگرد,"['/t̪ɑːd͡ʒ/', '[t̪äːd͡ʒ]']","['/ʃɑːɡiɾd̪/', '/ʃɒːɡɪɾd̪/', '/ʃɒːɡeɾd̪/', '/ʃɔːɡiɾd̪/']",7,3,2.791666666666667,3.1666666666666665,24.25,0.5833333333333334,0
6,गिरोह,مَوْلَى,['/ɡɪ.ɾoːɦ/'],['/maw.lan/'],7,3,1.7500000000000002,1.9583333333333333,19.125,0.6363636363636364,0
7,रहम,رحم,"['/ɾə.ɦəm/', '[ɾɛ.ɦɛ̃m]']","['/raˈhəm/', '/raˈxəm/']",4,0,0.16666666666666666,0.16666666666666666,1.5,0.4,1
8,शाबाश,شاباش,"['/ʃɑː.bɑːʃ/', '[ʃäː.bäːʃ]']",['/ʃɑː.bɑːʃᵊ/'],1,0,0.0,0.0,0.0,0.07692307692307693,1
9,सस्ता,,"['/səs.t̪ɑː/', '[s̪əs̪.t̪äː]']",,12,3,2.25,2.458333333333333,22.5,1.0,0
