loan_word,original_word
অংশ,अंश
অংশক,अंशक
অংশুল,अंशुल
অংস,अंस
অংসত্র,अंसत्त्र
অই,अदस्
অঋণ,अऋण
অঋণী,अऋणी
অকস্মাৎ,अकस्मात्
অকাম,अकाम
অকাম্য,अकाम्य
অকারণ,अकारण
অকাল,अकाल
অকিঞ্চন,अकिञ्चन
অকিঞ্চনতা,अकिञ्चनता
অকিঞ্চনত্ব,अकिञ्चनत्व
অক্ত,-अक्त
অক্ষ,अक्ष
অক্ষটি,आखेटक
অক্ষর,अक्षर
অক্ষরবৃত্ত,अक्षरवृत्त
অক্ষি,अक्षि
অক্ষৌহিণী,अक्षौहिणी
অগস্ত্য,अगस्त्य
অগ্নি,अग्नि
অগ্র,अग्र
অগ্রিম,अग्रिम
অঘ,अघ
অঙ্ক,अङ्क
অঙ্কন,अङ्कन
অঙ্কুট,अङ्कुट
অঙ্কুর,अङ्कुर
অঙ্কুশ,अंकुश
অঙ্কুশী,अंकुशी
অঙ্গুষ্ঠ,अङ्गुष्ठ
অজগর,अजगर
অঞ্চল,अञ्चल
অণ্ডকোষ,अण्डकोष
অত্যাচার,अत्याचार
অত্যাচারিত,अत्याचारित
অত্যাচারী,अत्याचारी
অথচ,अथच
অথবা,अथवा
অনন্যা,अनन्या
অনুবাদ,अनुवाद
অনুভব,अनुभव
অনুমতি,अनुमति
অনুস্বর,अनुस्वार
অন্ধকার,अन्धकार
অপরাধ,अपराध
অপেক্ষা,अपेक्षा
অবশ্য,अवश्य
অবাক,अवाक्
অভদ্র,अभद्र
অমর্ত্য,अमर्त्य
অমিত,अमित
অযোধ্যা,अयोध्या
অরবিন্দ,अरविन्द
অরিন্দম,अरिन्दम
অর্থ,अर्थ
অর্থাৎ,अर्थात्
অর্পিতা,अर्पिता
অশোক,अशोक
অসভ্য,असभ्य
অস্ত্রচিকিৎসা,अस्त्रचिकित्सा
অস্থি,अस्थि
অহংকার,अहंकार
অহঙ্কার,अहंकार
অহরহ,अहरहर्
আকাম,अकर्म
আকাশ,आकाश
আখাত,अखात
আগামী,आगामी
আচরণ,आचरण
আত্মহত্যা,आत्महत्या
আদেশ,आदेश
আন্তর্জাতিক,आन्तर्जातिक
আবিষ্কার,आविष्कार
আর্তব,आर्तव
আর্দ্র,आर्द्र
ইতিহাস,इतिहास
ইত্যাদি,इत्यादि
উদ্বোধন,उद्बोधन
উপত্যকা,उपत्यका
উপন্যাস,उपन्यास
উপভাষা,उपभाषा
উপাসনা,उपासना
উৎপল,उत्पल
ঋতু,ऋतु
একতা,एकता
এবং,एवम्
ঔষধ,औषध
কটাহ,कटाह
কথা,कथा
কদাচিৎ,कदाचित्
কফ,कफ
কবি,कवि
কর্ণ,कर्ण
কাক,काक
কৃষ্ণ,कृष्ण
কেন্দ্ৰ,केन्द्र
কোটি,कोटि
কৌলিক,कौलिक
কৌশিক,कौशिक
ক্রোশ,क्रोश
খাদ্য,खाद्य
গুহা,गुहा
গেরাম,ग्राम
গোমূত্র,गोमूत्र
গোষ্ঠী,गोष्ठी
গৌতম,गौतम
গ্রাম,ग्राम
গ্রীষ্ম,ग्रीष्म
ঘৃণা,घृणा
ঘোষ,घोष
চান,चन्द्र
চান্দ্র,चान्द्र
চিত্র,चित्र
চিন্তা,चिन्ता
চুম্বন,चुम्बन
ছবি,छवि
জন্য,जन्य
জীবিত,जीवित
জুম্মাবার,वार
জ্যোৎস্না,ज्योत्स्ना
ঝুট,जूट
