loan_word,original_word
一燕不成夏,one swallow does not a summer make
三克油,thank you
三味治,sandwich
三文治,sandwich
三明治,sandwich
三梅子,sandwich
不列顛,Britain
丘吉爾,Churchill
乃掃,Lysol
乃春,nitrene
亞伯達,Alberta
亞克力,acrylic
亞利桑那,Arizona
亞塞拜然,Azerbaijan
亞士匹靈,aspirin
亞歷山大,Alexander
亞瑟,Arthur
亞美利加,America
亞里桑那,Arizona
亞非利加,Africa
以太,ether
他莫昔芬,tamoxifen
伊妹,email
伊妹兒,e-mail
伐木累,family
伏特,volt
伊甸,Eden
伍茲,Woods
伊麗莎白,Elizabeth
伯利茲,Belize
伸卡球,sinker
伯明翰,Birmingham
來復槍,rifle
佩斯,Perth
依格,acre
來福槍,rifle
保加利亞,Bulgaria
便士,pence
保齡,bowling
倫敦,London
傑克,Jack
傑西卡,Jessica
優兔,YouTube
優格,yogurt
兀蘭,Woodlands
先令,shilling
克力架,cracker
克戟,hotcake
克拉,carat
克林頓,Clinton
免治,mince
克洛伊,Chloe
免翁,mignon
克賴斯特徹奇,Christchurch
克里奧爾語,creole
克里米亞,Crimea
兔爸,toolbar
冧巴,number
冬甩,donut
凡士林,vaseline
凡爾丁,valetin
凱恩斯,Cairns
凱文,Kevin
切克鬧,check it out
切爾西,Chelsea
切羅基,Cherokee
列根,Reagan
利比里亞,Liberia
利物浦,Liverpool
剛紀慎,congregation
加侖,gallon
加德滿都,Kathmandu
加拿大,Canada
加爾各答,Calcutta
加爾文,Calvin
加納,Ghana
加農,cannon
勃艮第,Burgundy
勒克斯,lux
北鼻,baby
卑詩,BC
博克胸,boxing
卡其,khaki
卡司,cast
卟吩,porphin
卟啉,porphyrin
卡因,-caine
卡塔爾,Qatar
卡士達,custard
卡布其諾,cappuccino
卡布基諾,cappuccino
卡布奇諾,cappuccino
卡式,cassette
卡林頓,Carrington
卡爾,Carl
卡特爾,cartel
卡西諾,casino
卡農,canon
卡通,cartoon
卡達,Qatar
卡里斯瑪,charisma
印地安,Indian
印度尼西亞,Indonesia
印第安,Indian
厄格,erg
厄瓜多,Ecuador
厄瓜多爾,Ecuador
可倫坡,Colombo
