loan_word,original_word
آثار,آثَار
آجر,آجُرّ
آخر,آخَر
آخرت,اَلْآخِرَة
آداب,آدَاب
آدم,آدَم
آفت,آفَة
آلت,آلَة
آمین,آمِينَ
آیات,آيَات
آیت‌الله,آيَةُ اللّٰه
آیه,آيَة
ائتلاف,اِئْتِلَاف
اب,أب
ابتدا,اِبْتِدَاء
ابتکار,اِبْتِكَار
ابد,أَبَد
ابراهیم,إِبْرَاهِيم
ابریق,إِبْرِيق
ابزیم,إِبْزِيم
ابله,أَبْلَه
ابلیس,إِبْلِيس
ابن رشد,اِبْن رُشْد
ابن سینا,اِبْن سِينَا
ابوبکر,أَبُو بَكْر
اتحاد,اِتِّحَاد
اتحادیه,اِتِّحَادِيَّة
اتصال,اِتِّصَال
اتفاق,اِتِّفَاق
اتفاقاً,اِتِّفَاقًا‎
اتلاف,إِتْلَاف
اتهام,اِتِّهَام
اثاث,أَثَاث
اثبات,إِثْبَات
اثر,أَثَر
اجازه,إِجَازَة
اجتماع,اِجْتِمَاع
اجتماعی,اِجْتِمَاعِيّ
اجمالی,اجمالی
اجناس,أَجْنَاس
اجنبی,أَجْنَبِيّ
احترام,اِحْتِرَام
احتلام,اِحْتِلَام
احتمال,اِحْتِمَال
احتمالا,اِحْتِمَالاً
احتیاج,اِحْتِيَاج
احساس,إِحْسَاس
احسان,إِحْسَان
احمد,أَحْمَد
احمر,أحمر
احمق,أَحْمَق
احیاناً,أَحْيَانًا
اخبار,أَخْبَار
اختراع,اِخْتِرَاع
اختیار,اِخْتِيَار
اخذ,أَخْذ
اخراج,إِخْرَاج
اخیرا,أَخِيرًا
ادا,أَدَاء
اداره,إِدَارَة
ادامه,إِدَامَة
ادب,أَدَب
ادبیات,أَدَبِيَّات
ادرار,إِدْرَار
ادغام,إِدْغَام
ادویه,أَدْوِيَة
اذان,أَذَان
اذن,إِذْن
اذیت,أَذِيَّة
ارائه,اِرَائَة
ارادت,إِرَادَة
اراده,إِرَادَة
ارباب,أَرْبَاب
اربد,أَرْبَد
ارتعاش,اِرْتِعَاش
ارسطو,أَرِسْطُو
ارشاد,إِرْشَاد
ارشد,أَرْشَد
ارض,أَرْض
اریحا,أَرِيحَا
ازار,إِزَار
ازاله,إِزَالَة
ازدواج,اِزْدِوَاج
اساس,أَسَاس
اساطیر,أَسَاطِير
استخدام,اِسْتِخْدَام
استراحت,اِسْتِرَاحَة
استعداد,اِسْتِعْدَاد
استعمار,اِسْتِعْمَار
استفاده,اِسْتِفَادَة
استفهام انکاری,اِسْتِفْهَام إِنْكَارِيّ
استقبال,اِسْتِقْبَال
استقلال,اِسْتِقْلَال
استوانه,أُسْطُوَانَة
اسدالله,أَسَدُ الله
اسرائیل,إِسْرَائِيل
اسطوره,أُسْطُورَة
اسفنج,إسفنج
اسلام,إِسْلَام
اسلوب,أُسْلُوب
اسم,اِسْم
اسماعیل,إِسْمَاعِيل
اسهال,إِسْهَال
اشاره,إِشَارَة
اشتباه,اِشْتِبَاه
اشتراک,اِشْتِرَاك
اشتها,اِشْتِهاء
اشتیاق,اِشْتِيَاق
اشکال,إِشْكَال
اصطبل,إِصْطَبْل
اصغر,أَصْغَر
اصل,أَصْل
اصلاح,إِصْلَاح
اصیل,أَصِيل
اضافه,إِضَافَة
اضطراری,اِضْطِرَارِيّ
اطمینان,اِطْمِئْنَان
اظهار,إِظْهَار
اعتدال,اِعْتِدَال
اعتراض,اِعْتِرَاض
اعتراف,اِعْتِرَاف
اعتصاب,اِعْتِصَاب
اعتقاد,اِعْتِقَاد
اعتماد,اِعْتِمَاد
اعتیاد,اِعْتِيَاد
اعدام,إِعْدَام
اعلام,إِعْلَام
اعماق,أَعْمَاق‎
اغلب,أَغْلَب
اغوا,إِغْوَاء
افتخار,اِفْتِخار
افطار,إِفْطَار
افقی,أُفُقِيّ
افلاطون,أَفْلَاطُون
افلاطونی,أَفْلَاطُونِيّ
افکار,أفكار
افیون,أَفْيُون
اقتصادی,اِقْتِصَادِيّ
اقرار,إِقْرَار
اقلام,أَقْلَام
اقلیم,إِقْلِيم
اقمار,أَقْمَار
اقوام,أَقْوَام
اقیانوس,أُوقْيَانُوس
الان,الْآن
البته,الْبَتَّةَ
التماس,اِلْتِمَاس
التهاب,اِلْتِهَاب
الجزایر,اَلْجَزَائِر
الحاق,إِلْحَاق
القاعده,الْقَاعِدَة
الله,الله
اله,إِلٰه
الهام,إِلْهَام
الهه,إِلَٰهَة
امام,إِمَام
امت,أُمَّة
امتحان,اِمْتِحَان
امتیاز,اِمْتِيَاز
امر,أَمْر
امرا,أُمَرَاء
امل,أَمَل
املا,إِمْلَاء
امن,أَمْن
اموال,أَمْوَال
امکان,إِمْكَان
امیر,أَمِير
امین,أَمِين
انتحار,اِنْتِحَار
انتخاب,اِنْتِخَاب
انتشار,اِنْتِشَار
انتظار,اِنْتِظَار
انتفاضه,اِنْتِفَاضَة
انتقاد,اِنْتِقَاد
انتقام,اِنْتِقَام
انجیل,إِنْجِيل
انزال,إِنْزَال
انسان,إِنْسَان
انسانی,إِنْسَانِيّ
انسانیت,إِنْسَانِيَّة
انطاکیه,أَنْطَاكِيَة
انعام,إِنْعَام
انعکاس,اِنْعِكَاس
انفجار,اِنْفِجَار
انقلاب,اِنْقِلَاب
انواع,أَنْوَاع
انکار,إِنْكَار
انیسون,أَنِيسُون
ان‌شاءالله,إِنْ شَاءَ ٱللَّٰهُ
اهالی,أَهَالِي
اهانت,إِهَانَة
اهل,أَهْل
اهمیت,أَهَمِّيَّة
اوان,أَوَان
اورشلیم,أُورُشَلِيم
اول,أَوَّل
اً,اً
اکثر,أَكْثَر
ایالت,إِيَالَة
ایجاد,إِيجَاد
ایل,أُيَّل
ایمان,إِيمَان
ایمن,آمِن
باب,بَاءَ
بابل,بَابِل
بادیه,بَادِيَة
باذنجان,بَاذِنْجَان
بار,بَارِئ
باری,بَارِئ
باعث,بَاعِث
بالاخره,بِالْآخِرَة
بالغ,بَالِغ
باکره,بَاكِرَة
بحث,بَحْث
بحر,بَحْر
بحران,بُحْران
بحریه,بَحْرِيَّة
بخار,بُخَار
بخور,بَخُور
بدعت,بِدْعَة
بدن,بَدَن
برذون,بِرْدَوْن
برزخ,بَرْزَخ
برق,بَرْق
برقع,بُرْقُع
بستو,بُسْتُوقَة
بشر,بَشَر
بشیر,بَشِير
بعث,بَعْث
بعد,بَعْد
بعدا,بَعْدَ
بعل,بَعْل
بعید,بَعِيد
بقیه,بَقِيَّة
بلا,بَلَاء
بلد,بَلَد
بلع,بَلَعَ
بن,بون
بنا,بِنَاء
بنت,بِنْت
بنیامین,بِنْيَامِين
بهاءالله,بَهَاءُ اللّٰه
بهائیت,الْبَهَائِيَّة
بهتان,بُهْتَان
بواسیر,بَوَاسِير
بوقلمون,أَبُوقَلَمُون
بول,بَوْل
بوم,غُرَاب
بکارت,بَكَارَة
بیان,بَيَان
بیت,بَيْت
بین,بَيْنَ
تأکید,تَأْكِيد
تابع,تَابِع
تاج,تَخْت
تاریخ,تَارِيخ
تبدیل,تَبْدِيل
تبریک,تَبْرِيك
تبسم,تَبَسُّم
