loan_word,original_word
aanwijzing,aanwijzing
abakus,abacus
abatoar,abattoir
abdikasi,abdicatie
abdomen,abdomen
abduksi,abductie
aberasi,aberratie
abiturien,abituriënt
ablasi,ablatie
abnormal,abnormaal
abolisi,abolitie
abone,abonnee
abonemen,abonnement
aborsi,abortie
abortus,abortus
abrasi,abrasie
absen,absent
absensi,absentie
absenteisme,absenteïsme
abses,abces
absis,abscis
absolusi,absolutie
absolut,absoluut
absolutisme,absolutisme
absorpsi,absorptie
abstrak,abstract
abstraksi,abstractie
absurd,absurd
accoord,accoord
adaptasi,adaptatie
adaptif,adaptief
adekuat,adequaat
adempauze,adempauze
adhesi,adhesie
adhesif,adhesief
adiksi,addictie
adjektif,adjectief
adjudikasi,adjudicatie
administrasi,administratie
administratif,administratief
administrator,administrator
administratur,administrateur
admiral,admiraal
admisi,admissie
adopsi,adoptie
adoptif,adoptief
adpertensi,advertentie
adpis,advies
adres,adres
aduksi,adductie
adven,advent
advertensi,advertentie
advis,advies
advokat,advocaat
aerob,aerobic
aerodinamika,aerodynamica
aerodinamis,aerodynamisch
aerogram,aerogram
aerostatika,aerostatica
af,af
afdeling,afdeling
afdruk,afdruk
afek,affect
afeksi,affectie
afektif,affectief
Afganistan,Afghanistan
afiks,affix
afiliasi,affiliatie
afirmasi,affirmatie
afkir,afkeur
afspraak,afspraak
agen,agent
agenda,agendaboec
agensi,agence
agio,agio
agitasi,agitatie
agitator,agitator
aglomerasi,agglomeratie
aglutinasi,agglutinatie
agnostisisme,agnosticisme
agraris,agrarisch
agregasi,aggregatie
agregat,aggregaat
agresi,agressie
agresif,agressief
agresor,aggressor
agronomi,agronomie
Agustus,augustus
ajektif,adjectief
ajun,adjunct
akademi,akademie
akademikus,academicus
akademis,academisch
akademisi,academici
akasia,acacia
aki,accu
aklamasi,acclamatie
akne,acne
akomodasi,accommodatie
akomodatif,accommodatief
akomodir,accommoderen
akor,akkoord
akordeon,accordeon
akreditasi,accreditatie
akrobat,acrobaat
akrobatis,acrobatisch
akronim,acroniem
akselerasi,acceleratie
aksen,accent
aksentuasi,accentuatie
aksep,accept
aksesi,accessie
aksesori,accessoire
aksioma,axioma
akte,acte
aktentas,aktentas
aktinometer,actinometer
aktiva,activa
aktivasi,activatie
aktivisme,activisme
aktivitet,activiteit
aktualisasi,actualisatie
aktuaris,actuaris
aktuil,actueel
akuaduk,aquaduct
akuakultur,aquacultuur
akuarel,aquarel
akuarium,aquarium
akuifer,aquifer
akuisisi,acquisitie
akulturasi,acculturatie
akumulasi,accumulatie
akun,account
